"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"8600000US01094","ZCTA5 01094","-","-","**","**",
"8600000US01095","ZCTA5 01095","111487","null","13031","null",
"8600000US01096","ZCTA5 01096","81447","null","8977","null",
"8600000US01097","ZCTA5 01097","63750","null","14845","null",
"8600000US01098","ZCTA5 01098","81875","null","6056","null",
"8600000US01103","ZCTA5 01103","17736","null","4438","null",
"8600000US01104","ZCTA5 01104","40884","null","4451","null",
"8600000US01105","ZCTA5 01105","21875","null","2070","null",
"8600000US01106","ZCTA5 01106","123644","null","7809","null",
"8600000US01107","ZCTA5 01107","30457","null","7975","null",
"8600000US01108","ZCTA5 01108","41807","null","5902","null",
"8600000US01109","ZCTA5 01109","35000","null","3566","null",
"8600000US01118","ZCTA5 01118","70296","null","7503","null",
"8600000US01119","ZCTA5 01119","48324","null","5620","null",
"8600000US01128","ZCTA5 01128","67422","null","19600","null",
"8600000US01129","ZCTA5 01129","61769","null","9828","null",
"8600000US01151","ZCTA5 01151","44291","null","2129","null",
"8600000US01199","ZCTA5 01199","-","-","**","**",
"8600000US01201","ZCTA5 01201","57160","null","3017","null",
"8600000US01220","ZCTA5 01220","47908","null","5343","null",
"8600000US01222","ZCTA5 01222","58668","null","17032","null",
"8600000US01223","ZCTA5 01223","66161","null","15840","null",
"8600000US01224","ZCTA5 01224","-","-","**","**",
"8600000US01225","ZCTA5 01225","72119","null","14337","null",
"8600000US01226","ZCTA5 01226","73911","null","8249","null",
"8600000US01229","ZCTA5 01229","-","-","**","**",
"8600000US01230","ZCTA5 01230","68690","null","10584","null",
"8600000US01235","ZCTA5 01235","67404","null","9833","null",
"8600000US01236","ZCTA5 01236","63696","null","9238","null",
"8600000US01237","ZCTA5 01237","76579","null","19270","null",
"8600000US01238","ZCTA5 01238","77455","null","25674","null",
"8600000US01240","ZCTA5 01240","72802","null","26118","null",
"8600000US01242","ZCTA5 01242","-","-","**","**",
"8600000US01243","ZCTA5 01243","62708","null","22138","null",
"8600000US01244","ZCTA5 01244","50104","null","7092","null",
"8600000US01245","ZCTA5 01245","109063","null","44717","null",
"8600000US01247","ZCTA5 01247","52398","null","5554","null",
"8600000US01253","ZCTA5 01253","88487","null","5500","null",
"8600000US01254","ZCTA5 01254","96563","null","8061","null",
"8600000US01255","ZCTA5 01255","77000","null","12430","null",
"8600000US01256","ZCTA5 01256","47200","null","7946","null",
"8600000US01257","ZCTA5 01257","64375","null","28093","null",
"8600000US01258","ZCTA5 01258","74375","null","38440","null",
"8600000US01259","ZCTA5 01259","78625","null","26844","null",
"8600000US01260","ZCTA5 01260","107614","null","100635","null",
"8600000US01262","ZCTA5 01262","39286","null","21388","null",
"8600000US01264","ZCTA5 01264","68750","null","15210","null",
"8600000US01266","ZCTA5 01266","77500","null","7105","null",
"8600000US01267","ZCTA5 01267","91917","null","12369","null",
"8600000US01270","ZCTA5 01270","86912","null","9795","null",
"8600000US01301","ZCTA5 01301","46931","null","4569","null",
"8600000US01330","ZCTA5 01330","72609","null","9857","null",
"8600000US01331","ZCTA5 01331","61949","null","5741","null",
"8600000US01337","ZCTA5 01337","69853","null","8909","null",
"8600000US01338","ZCTA5 01338","64667","null","23043","null",
"8600000US01339","ZCTA5 01339","60438","null","11729","null",
"8600000US01340","ZCTA5 01340","60313","null","9865","null",
"8600000US01341","ZCTA5 01341","92500","null","16571","null",
"8600000US01342","ZCTA5 01342","103000","null","38043","null",
"8600000US01343","ZCTA5 01343","73125","null","21173","null",
"8600000US01344","ZCTA5 01344","63333","null","16987","null",
"8600000US01346","ZCTA5 01346","93400","null","10971","null",
"8600000US01347","ZCTA5 01347","-","-","**","**",
"8600000US01349","ZCTA5 01349","75417","null","25836","null",
"8600000US01350","ZCTA5 01350","-","-","**","**",
"8600000US01351","ZCTA5 01351","97054","null","10140","null",
"8600000US01354","ZCTA5 01354","68173","null","10224","null",
"8600000US01355","ZCTA5 01355","69038","null","3081","null",
"8600000US01360","ZCTA5 01360","75900","null","20535","null",
"8600000US01364","ZCTA5 01364","53949","null","6681","null",
"8600000US01366","ZCTA5 01366","71818","null","13184","null",
"8600000US01367","ZCTA5 01367","69375","null","12713","null",
"8600000US01368","ZCTA5 01368","86607","null","13585","null",
"8600000US01370","ZCTA5 01370","61711","null","6525","null",
