"cz","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cz21702","Austin, MN",51457
"cz27601","Rapid City, SD",51408
"cz23000","Monroe, WI",51380
"cz34901","Albuquerque, NM",51340
"cz31402","Pecos, TX",51299
"cz30502","Enid, OK",51262
"cz27202","Worthington, IA & MN",51253
"cz7300","Palm Bay, FL",51251
"cz30300","Fayetteville, AR & MO & OK",51132
"cz27801","Columbus-Norfolk, NE",51115
"cz38601","Spokane, ID & WA",51101
"cz302","Knoxville, TN",51100
"cz34307","Colstrip, MT",51098
"cz23500","Decatur, IL",51084
"cz18400","Plattsburgh, NY",50967
"cz18800","Scranton, PA",50909
"cz25500","Centralia, IL",50882
"cz21802","Decorah, IA",50849
"cz13800","Wayne, IN",50815
"cz31700","Corpus Christi, TX",50778
"cz31007","Dumas, TX",50559
"cz17900","Union, NY & PA",50559
"cz34304","Sheridan, MT & WY",50527
"cz28701","Salida, CO",50510
"cz26405","Scobey, MT",50471
"cz38802","The Dalles, OR & WA",50458
"cz37000","Modesto, CA",50457
"cz35901","St. George, UT",50447
"cz32401","Big Spring, TX",50420
"cz29008","Center, KS",50372
"cz15000","Canton, OH",50371
"cz8100","Columbia, SC",50342
"cz11303","Colonial Beach, VA",50341
"cz22002","Iowa Falls, IA",50311
"cz30701","Roswell, NM",50306
"cz18100","Elmira, NY & PA",50268
"cz26407","Plentywood, MT",50172
"cz36301","Pocatello, ID",50151
"cz38901","Eugene, OR",50133
"cz13300","Findlay, OH",50040
"cz26404","Lemmon, ND & SD",50025
"cz27302","Fairmont, IA & MN",50021
"cz12100","Kalamazoo, MI",50014
"cz31004","Liberal, KS & OK",49996
"cz21801","Mason City, IA",49973
"cz23302","Douglas, IL",49942
"cz28102","Nebraska City, NE",49873
"cz29203","Manhattan, KS",49863
"cz29104","Salina, KS",49862
"cz27901","Hastings, NE",49853
"cz31006","Guymon, KS & OK & TX",49810
"cz31403","Fort Stockton, TX",49726
"cz32301","San Angelo, TX",49677
"cz26804","Cooperstown, ND",49624
"cz6401","Chattanooga, GA & TN",49595
"cz23802","Clinton, IA",49560
"cz27504","Carroll, IA",49538
"cz26402","Baker, MT",49490
"cz9400","Gainesville, GA",49472
"cz3003","Jackson, MS",49436
"cz21102","Amery, WI",49395
"cz29006","Hays, KS",49379
"cz2300","Lynchburg, VA",49364
"cz16600","Roanoke, VA & WV",49308
"cz8401","Aiken, GA & SC",49306
"cz27401","Storm Lake, IA",49274
"cz31005","Perryton, TX",49270
"cz28609","Lexington, NE",49242
"cz3400","Houma, LA",49239
"cz28304","Valentine, NE",49233
"cz38501","Moses Lake, WA",49218
"cz28604","Colby, KS",49205
"cz27005","Yankton, NE & SD",49203
"cz28303","Oshkosh, NE",49184
"cz17200","Harrisonburg, VA & WV",49174
"cz31303","Kerrville, TX",49173
"cz33802","Chickasha, OK",49149
"cz21600","Brainerd, MN",49134
"cz13700","Concord, IN & MI",49071
"cz33801","Elk City, OK",49050
"cz35201","Grand Junction, CO",49019
"cz13600","South Bend, IN & MI",49019
"cz31302","Beeville, TX",48987
"cz35902","Price, UT",48833
"cz35100","Tucson, AZ",48814
"cz35803","McCall, ID",48795
"cz37300","Chico, CA",48764
"cz18700","Sunbury, PA",48696
"cz26401","Ekalaka, MT & SD",48695
"cz29003","Dodge City, KS",48694
"cz27006","Mitchell, SD",48669
"cz30802","Lubbock, TX",48628
"cz27007","Huron, SD",48605
"cz13000","Elizabethtown, KY",48554
"cz29503","St. Joseph, KS & MO",48460
"cz17300","Staunton, VA",48455
"cz18900","Williamsport, PA",48443
"cz29001","Pratt, KS",48437
"cz1100","Hickory, NC",48427
"cz14500","Lafayette, IL & IN",48400
"cz18300","Watertown, NY",48389
"cz1500","Wilmington, NC",48385
"cz16100","State College, PA",48347
"cz8300","Greenville, SC",48283
"cz11500","Jackson, MI",48270
"cz17800","Oneonta, NY",48269
"cz32601","Wichita Falls, TX",48264
"cz31800","College Station, TX",48198
"cz27001","O'Neill, NE",48129
"cz31102","La Grange, TX",48107
"cz11101","Montgomery, AL",48100
"cz34305","Miles City, MT",48098
"cz32602","Graham, TX",48054
"cz26902","Little Falls, MN",47973
"cz37603","Portola, CA",47957
"cz13502","Defiance, OH",47824
"cz10000","Panama City, FL",47809
"cz26701","Bemidji, MN",47784
"cz39303","Port Angeles, WA",47716
"cz33601","Lawton, OK",47702
"cz24801","Jacksonville, IL",47697
"cz22300","Ottumwa, IA",47678
"cz32100","Beaumont, TX",47641
"cz5900","Clarksville, KY & TN",47610
"cz35401","Flagstaff, AZ & UT",47590
"cz12302","Petoskey, MI",47574
"cz9600","LaGrange, AL & GA",47560
"cz9900","Tallahassee, FL",47479
"cz26602","Sisseton, SD",47410
"cz27012","Gettysburg, SD",47393
"cz29202","Marysville, KS",47370
"cz401","Winston-Salem, NC",47359
"cz27503","Atlantic, IA",47331
"cz38700","Longview, OR & WA",47318
"cz3700","Lake Charles, LA",47302
"cz26305","Rugby, ND",47300
"cz34203","Great Falls, MT",47289
"cz33300","Tyler, TX",47285
"cz27701","Scottsbluff, NE",47260
"cz13103","Bardstown, KY",47237
"cz26301","Devils Lake, ND",47219
"cz29201","Hiawatha, KS",47117
"cz37200","Fresno, CA",47106
"cz33400","Longview, TX",47096
"cz33902","Sherman, OK & TX",47092
"cz28602","Norton, KS",47057
"cz22602","Shawano, WI",47047
"cz13900","Center, IN",46997
"cz29005","Hutchinson, KS",46895
"cz35002","Safford, AZ",46818
"cz27002","Ord, NE",46818
"cz16901","Charleston, WV",46755
"cz20001","Bangor, ME",46737
"cz11900","Saginaw, MI",46683
"cz18202","St. Marys, PA",46676
"cz21502","Pine City, MN",46656
"cz28305","Broken Bow, NE",46641
"cz16702","Morgantown, WV",46636
"cz26203","Linton, ND",46559
"cz500","Greensboro, NC & VA",46543
"cz1203","Asheville, NC",46519
"cz23600","Burlington, IA & IL & MO",46509
"cz28002","West Point, NE",46495
"cz34504","Missoula, MT",46461
"cz34302","Worland, WY",46441
"cz35904","Richfield, UT",46419
"cz28302","Ogallala, CO & NE",46366
"cz35702","Burley, ID",46361
"cz16500","Erie, NY & PA",46346
"cz3800","Lafayette, LA",46339
"cz32801","Waco, TX",46289
"cz25000","Quincy, IL & MO",46283
"cz26604","Mobridge, SD",46188
"cz35701","Twin Falls, ID",46183
"cz32501","Abilene, TX",46171
"cz29401","Ottawa, KS",46150
"cz26408","Glasgow, MT",46117
"cz8900","Macon, GA",46089
"cz13102","Madison, IN & KY",46061
"cz11001","Mobile, AL",45958
"cz31103","Gonzales, TX",45936
"cz28607","McCook, NE",45877
"cz36600","Redding, CA",45856
"cz39000","Yakima, WA",45837
"cz30905","Wellington, TX",45833
"cz14801","Olney, IL",45832
"cz8602","Brunswick, GA",45822
